Index,Predicted Labels,True Labels,Is Predicted Label Incorrect?
1,lysosome,lysosome,---
2,nucleolus,nucleolus,---
3,golgia,golgia,---
4,endosome,endosome,---
5,lysosome,lysosome,---
6,golgia,golgia,---
7,endosome,endosome,---
8,endosome,endosome,---
9,dna,dna,---
10,lysosome,lysosome,---
11,actin,actin,---
12,nucleolus,nucleolus,---
13,dna,dna,---
14,mitochondria,mitochondria,---
15,endosome,endosome,---
16,dna,dna,---
17,golgpp,golgpp,---
18,er,endosome,Incorrect Prediction
19,er,er,---
20,actin,actin,---
21,golgia,golgia,---
22,endosome,endosome,---
23,endosome,endosome,---
24,golgpp,golgpp,---
25,er,er,---
26,dna,dna,---
27,actin,actin,---
28,dna,dna,---
29,dna,dna,---
30,mitochondria,mitochondria,---
31,nucleolus,nucleolus,---
32,dna,dna,---
33,mitochondria,mitochondria,---
34,nucleolus,nucleolus,---
35,golgia,golgia,---
36,nucleolus,nucleolus,---
37,microtubules,microtubules,---
38,er,er,---
39,dna,dna,---
40,golgpp,golgpp,---
41,er,er,---
42,mitochondria,mitochondria,---
43,endosome,endosome,---
44,nucleolus,nucleolus,---
45,golgpp,golgpp,---
46,actin,actin,---
47,endosome,endosome,---
48,lysosome,lysosome,---
49,mitochondria,endosome,Incorrect Prediction
50,microtubules,microtubules,---
51,nucleolus,nucleolus,---
52,microtubules,microtubules,---
53,endosome,endosome,---
54,dna,endosome,Incorrect Prediction
55,er,er,---
56,er,er,---
57,dna,dna,---
58,nucleolus,nucleolus,---
59,er,er,---
60,golgia,golgia,---
61,mitochondria,mitochondria,---
62,endosome,endosome,---
63,dna,dna,---
64,endosome,endosome,---
65,lysosome,lysosome,---
66,golgia,golgia,---
67,er,er,---
68,golgia,golgia,---
69,actin,actin,---
70,er,er,---
71,er,er,---
72,endosome,endosome,---
73,golgia,golgia,---
74,er,microtubules,Incorrect Prediction
75,nucleolus,nucleolus,---
76,lysosome,lysosome,---
77,mitochondria,mitochondria,---
78,actin,actin,---
79,actin,actin,---
80,endosome,endosome,---
81,nucleolus,nucleolus,---
82,microtubules,microtubules,---
83,microtubules,microtubules,---
84,nucleolus,nucleolus,---
85,nucleolus,nucleolus,---
86,mitochondria,mitochondria,---
87,microtubules,microtubules,---
88,golgia,golgia,---
89,mitochondria,mitochondria,---
90,golgia,golgia,---
91,er,er,---
92,golgia,golgia,---
93,nucleolus,nucleolus,---
94,microtubules,er,Incorrect Prediction
95,actin,actin,---
96,microtubules,microtubules,---
97,golgpp,golgpp,---
98,golgia,golgia,---
99,er,er,---
100,mitochondria,mitochondria,---
101,nucleolus,nucleolus,---
102,nucleolus,nucleolus,---
103,nucleolus,nucleolus,---
104,lysosome,lysosome,---
105,golgpp,golgpp,---
106,mitochondria,mitochondria,---
107,nucleolus,nucleolus,---
108,er,er,---
109,golgia,golgia,---
110,golgpp,golgpp,---
111,microtubules,microtubules,---
112,dna,dna,---
113,er,er,---
114,golgpp,golgpp,---
115,golgpp,golgpp,---
116,nucleolus,nucleolus,---
117,actin,actin,---
118,dna,dna,---
119,golgpp,golgpp,---
120,mitochondria,mitochondria,---
121,golgia,golgia,---
122,golgia,golgia,---
123,er,er,---
124,dna,dna,---
125,actin,actin,---
126,dna,dna,---
127,nucleolus,nucleolus,---
128,lysosome,lysosome,---
129,endosome,endosome,---
130,dna,dna,---
