Index,Predicted Labels,True Labels,Is Predicted Label Incorrect?
1,panda,panda,---
2,grand_piano,grand_piano,---
3,airplanes,airplanes,---
4,Motorbikes,Motorbikes,---
5,Motorbikes,Motorbikes,---
6,airplanes,airplanes,---
7,airplanes,airplanes,---
8,car_side,car_side,---
9,brain,brain,---
10,panda,panda,---
11,Motorbikes,Motorbikes,---
12,brain,brain,---
13,airplanes,airplanes,---
14,car_side,car_side,---
15,car_side,car_side,---
16,airplanes,airplanes,---
17,Motorbikes,Motorbikes,---
18,helicopter,helicopter,---
19,Motorbikes,Motorbikes,---
20,Motorbikes,Motorbikes,---
21,airplanes,airplanes,---
22,airplanes,airplanes,---
23,Motorbikes,Motorbikes,---
24,cougar_face,cougar_face,---
25,airplanes,airplanes,---
26,chandelier,chandelier,---
27,airplanes,airplanes,---
28,Motorbikes,Motorbikes,---
29,crab,crab,---
30,airplanes,airplanes,---
31,chandelier,grand_piano,Incorrect Prediction
32,cougar_face,grand_piano,Incorrect Prediction
33,Motorbikes,Motorbikes,---
34,Motorbikes,Motorbikes,---
35,Motorbikes,Motorbikes,---
36,airplanes,airplanes,---
37,helicopter,helicopter,---
38,airplanes,airplanes,---
39,panda,panda,---
40,Motorbikes,Motorbikes,---
41,airplanes,airplanes,---
42,Motorbikes,Motorbikes,---
43,grand_piano,grand_piano,---
44,Motorbikes,Motorbikes,---
45,cougar_face,cougar_face,---
46,airplanes,airplanes,---
47,Motorbikes,Motorbikes,---
48,airplanes,airplanes,---
49,panda,panda,---
50,Motorbikes,Motorbikes,---
51,airplanes,airplanes,---
52,brain,brain,---
53,airplanes,airplanes,---
54,crab,crab,---
55,airplanes,airplanes,---
56,Motorbikes,Motorbikes,---
57,chandelier,chandelier,---
58,helicopter,helicopter,---
59,grand_piano,grand_piano,---
60,brain,brain,---
61,grand_piano,grand_piano,---
62,airplanes,airplanes,---
63,Motorbikes,Motorbikes,---
64,airplanes,airplanes,---
65,airplanes,airplanes,---
66,airplanes,airplanes,---
67,car_side,car_side,---
68,Motorbikes,Motorbikes,---
69,airplanes,airplanes,---
70,brain,brain,---
71,Motorbikes,Motorbikes,---
72,airplanes,airplanes,---
73,airplanes,airplanes,---
74,Motorbikes,Motorbikes,---
75,airplanes,airplanes,---
76,Motorbikes,Motorbikes,---
77,Motorbikes,Motorbikes,---
78,cougar_face,cougar_face,---
79,grand_piano,grand_piano,---
80,Motorbikes,Motorbikes,---
81,chandelier,crab,Incorrect Prediction
82,Motorbikes,Motorbikes,---
83,airplanes,airplanes,---
84,brain,brain,---
85,car_side,car_side,---
86,panda,panda,---
87,helicopter,airplanes,Incorrect Prediction
88,chandelier,grand_piano,Incorrect Prediction
89,Motorbikes,Motorbikes,---
90,airplanes,airplanes,---
91,panda,panda,---
92,brain,brain,---
93,airplanes,airplanes,---
94,grand_piano,grand_piano,---
95,cougar_face,cougar_face,---
96,airplanes,airplanes,---
97,brain,brain,---
98,Motorbikes,Motorbikes,---
99,airplanes,airplanes,---
100,car_side,car_side,---
101,panda,panda,---
102,airplanes,airplanes,---
103,car_side,car_side,---
104,grand_piano,grand_piano,---
105,airplanes,airplanes,---
106,Motorbikes,Motorbikes,---
107,airplanes,airplanes,---
108,Motorbikes,Motorbikes,---
109,airplanes,airplanes,---
110,helicopter,helicopter,---
111,brain,brain,---
112,airplanes,airplanes,---
113,Motorbikes,Motorbikes,---
114,airplanes,airplanes,---
115,airplanes,airplanes,---
116,chandelier,chandelier,---
117,Motorbikes,Motorbikes,---
118,car_side,car_side,---
119,grand_piano,grand_piano,---
120,airplanes,airplanes,---
121,airplanes,airplanes,---
122,Motorbikes,Motorbikes,---
123,Motorbikes,Motorbikes,---
124,Motorbikes,Motorbikes,---
125,chandelier,grand_piano,Incorrect Prediction
126,airplanes,airplanes,---
127,helicopter,helicopter,---
128,cougar_face,cougar_face,---
129,Motorbikes,Motorbikes,---
130,grand_piano,grand_piano,---
131,airplanes,airplanes,---
132,airplanes,airplanes,---
133,Motorbikes,Motorbikes,---
134,Motorbikes,Motorbikes,---
135,Motorbikes,Motorbikes,---
136,grand_piano,grand_piano,---
137,Motorbikes,Motorbikes,---
138,brain,brain,---
139,car_side,car_side,---
140,helicopter,helicopter,---
141,airplanes,airplanes,---
142,airplanes,airplanes,---
143,Motorbikes,Motorbikes,---
144,Motorbikes,Motorbikes,---
145,Motorbikes,Motorbikes,---
146,brain,brain,---
147,chandelier,chandelier,---
148,airplanes,airplanes,---
149,chandelier,chandelier,---
150,chandelier,chandelier,---
151,airplanes,airplanes,---
152,Motorbikes,Motorbikes,---
153,airplanes,airplanes,---
154,Motorbikes,Motorbikes,---
155,Motorbikes,Motorbikes,---
156,Motorbikes,Motorbikes,---
157,airplanes,airplanes,---
158,Motorbikes,Motorbikes,---
159,brain,brain,---
160,airplanes,airplanes,---
161,airplanes,airplanes,---
162,car_side,car_side,---
163,airplanes,airplanes,---
164,car_side,car_side,---
165,chandelier,chandelier,---
166,airplanes,airplanes,---
167,car_side,car_side,---
168,airplanes,airplanes,---
169,airplanes,airplanes,---
170,Motorbikes,Motorbikes,---
171,car_side,car_side,---
172,helicopter,helicopter,---
173,airplanes,airplanes,---
174,Motorbikes,Motorbikes,---
175,Motorbikes,Motorbikes,---
176,chandelier,cougar_face,Incorrect Prediction
177,airplanes,airplanes,---
178,airplanes,airplanes,---
179,crab,crab,---
180,airplanes,airplanes,---
181,airplanes,airplanes,---
182,Motorbikes,Motorbikes,---
183,helicopter,crab,Incorrect Prediction
184,airplanes,airplanes,---
185,Motorbikes,Motorbikes,---
186,Motorbikes,Motorbikes,---
187,Motorbikes,Motorbikes,---
188,Motorbikes,Motorbikes,---
189,chandelier,chandelier,---
190,airplanes,airplanes,---
191,brain,cougar_face,Incorrect Prediction
192,airplanes,airplanes,---
193,airplanes,airplanes,---
194,Motorbikes,Motorbikes,---
195,crab,crab,---
196,Motorbikes,Motorbikes,---
197,Motorbikes,Motorbikes,---
198,Motorbikes,Motorbikes,---
199,chandelier,chandelier,---
200,Motorbikes,Motorbikes,---
201,airplanes,airplanes,---
202,airplanes,airplanes,---
203,car_side,car_side,---
204,airplanes,airplanes,---
205,airplanes,airplanes,---
206,airplanes,airplanes,---
207,Motorbikes,Motorbikes,---
208,Motorbikes,Motorbikes,---
209,brain,brain,---
210,brain,brain,---
211,Motorbikes,Motorbikes,---
212,airplanes,airplanes,---
213,Motorbikes,Motorbikes,---
214,airplanes,airplanes,---
215,grand_piano,grand_piano,---
216,Motorbikes,Motorbikes,---
217,airplanes,airplanes,---
218,airplanes,airplanes,---
219,airplanes,airplanes,---
220,airplanes,airplanes,---
